Number,Name,Age,Team,Time,Points,evento,evento_short
1,Club Nacional Nueva Helvecia,,A,"5:23,27",18,29  Mujeres 16-18 4x100 CC Metro Combinado Relevo,29  Mujeres 16-18 4x100 
,"1) Font, Valentina 16             2",) Vel,"azquez, Federica 18","3) Silvera, Va",lentina 18,29  Mujeres 16-18 4x100 CC Metro Combinado Relevo,29  Mujeres 16-18 4x100 
2,Carrasco Lawn Tennis Club,,A,"5:28,91",14,29  Mujeres 16-18 4x100 CC Metro Combinado Relevo,29  Mujeres 16-18 4x100 
,"1) Estol, Lucia 16                2",) Vid,"iella, Felicia 17","3) Vidiella, F",ederica 17,29  Mujeres 16-18 4x100 CC Metro Combinado Relevo,29  Mujeres 16-18 4x100 
3,Centro Sportivo Laureles,,A,"5:29,46",12,29  Mujeres 16-18 4x100 CC Metro Combinado Relevo,29  Mujeres 16-18 4x100 
,"1) Gonzalez, Sol 15               2",) Kei,"ran, Julieta 17","3) Ashby, Julieta 14",,29  Mujeres 16-18 4x100 CC Metro Combinado Relevo,29  Mujeres 16-18 4x100 
4,Club Social y Deportivo Delfin,,A,"5:44,16",10,29  Mujeres 16-18 4x100 CC Metro Combinado Relevo,29  Mujeres 16-18 4x100 
,"1) Flores, Chiara 17              2",) Kos,"ter, Emilia 16","3) Barrientos, Catali",na 18,29  Mujeres 16-18 4x100 CC Metro Combinado Relevo,29  Mujeres 16-18 4x100 
---,Club Atletico Esparta,,A,DQ,,29  Mujeres 16-18 4x100 CC Metro Combinado Relevo,29  Mujeres 16-18 4x100 
,"1) Bernardi, Alfonsina 16         2",) Biz,"oza, Maia 17                                             3) Cen","turion, Matilde 18",,29  Mujeres 16-18 4x100 CC Metro Combinado Relevo,29  Mujeres 16-18 4x100 
