Number,Name,Age,Team,Time,Points,evento,evento_short
1,"Gallino, Camila",17,Piscinas Barriales DE Salto,"1:08,13",9.0,54  Mujeres 16-18 100 CC Metro Estilo Libre,54  Mujeres 16-18 100 CC
2,"Keiran, Pia",18,Centro Sportivo Laureles,"1:08,86",7.0,54  Mujeres 16-18 100 CC Metro Estilo Libre,54  Mujeres 16-18 100 CC
3,"Vidiella, Federica",17,Carrasco Lawn Tennis Club,"1:10,27",6.0,54  Mujeres 16-18 100 CC Metro Estilo Libre,54  Mujeres 16-18 100 CC
4,"Font, Valentina",16,Club Nacional Nueva Helvecia,"1:10,47",5.0,54  Mujeres 16-18 100 CC Metro Estilo Libre,54  Mujeres 16-18 100 CC
5,"Estol, Lucia",16,Carrasco Lawn Tennis Club,"1:10,70",4.0,54  Mujeres 16-18 100 CC Metro Estilo Libre,54  Mujeres 16-18 100 CC
6,"Flores, Chiara",17,Club Social y Deportivo Delfin,"1:12,45",3.0,54  Mujeres 16-18 100 CC Metro Estilo Libre,54  Mujeres 16-18 100 CC
7,"Keiran, Julieta",17,Centro Sportivo Laureles,"1:13,03",2.0,54  Mujeres 16-18 100 CC Metro Estilo Libre,54  Mujeres 16-18 100 CC
8,"Velazquez, Federica",18,Club Nacional Nueva Helvecia,"1:13,11",1.0,54  Mujeres 16-18 100 CC Metro Estilo Libre,54  Mujeres 16-18 100 CC
9,"Delfino, Florencia",18,Centro Sportivo Laureles,"x1:13,71",,54  Mujeres 16-18 100 CC Metro Estilo Libre,54  Mujeres 16-18 100 CC
10,"Sonderegger, Saskia",17,Club Nacional Nueva Helvecia,"x1:14,01",,54  Mujeres 16-18 100 CC Metro Estilo Libre,54  Mujeres 16-18 100 CC
11,"Barrientos, Catalina",18,Club Social y Deportivo Delfin,"1:14,56",,54  Mujeres 16-18 100 CC Metro Estilo Libre,54  Mujeres 16-18 100 CC
12,"Zecca, Natalia",16,Club Social y Deportivo Delfin,"x1:14,63",,54  Mujeres 16-18 100 CC Metro Estilo Libre,54  Mujeres 16-18 100 CC
13,"Sonderegger, Anika",17,Club Atletico Esparta,"1:20,06",,54  Mujeres 16-18 100 CC Metro Estilo Libre,54  Mujeres 16-18 100 CC
14,"Centurion, Matilde",18,Club Atletico Esparta,"1:20,87",,54  Mujeres 16-18 100 CC Metro Estilo Libre,54  Mujeres 16-18 100 CC
15,"De Los Santos, Delfina",17,Piscinas Barriales DE Salto,"1:24,31",,54  Mujeres 16-18 100 CC Metro Estilo Libre,54  Mujeres 16-18 100 CC
16,"Bernardi, Alfonsina",16,Club Atletico Esparta,"x1:28,97",,54  Mujeres 16-18 100 CC Metro Estilo Libre,54  Mujeres 16-18 100 CC
17,"Derregibus, Celeste",16,Piscinas Barriales DE Salto,"x1:31,71",,54  Mujeres 16-18 100 CC Metro Estilo Libre,54  Mujeres 16-18 100 CC
