Number,Name,Age,Team,Time,Points,evento,evento_short
1,"Gallino, Camila",17,Piscinas Barriales DE Salto,"2:27,63",9.0,1  Mujeres 16-18 200 CC Metro Estilo Libre,1  Mujeres 16-18 200 CC 
2,"Font, Valentina",16,Club Nacional Nueva Helvecia,"2:35,49",7.0,1  Mujeres 16-18 200 CC Metro Estilo Libre,1  Mujeres 16-18 200 CC 
3,"Keiran, Pia",18,Centro Sportivo Laureles,"2:36,06",6.0,1  Mujeres 16-18 200 CC Metro Estilo Libre,1  Mujeres 16-18 200 CC 
4,"Estol, Lucia",16,Carrasco Lawn Tennis Club,"2:37,81",5.0,1  Mujeres 16-18 200 CC Metro Estilo Libre,1  Mujeres 16-18 200 CC 
5,"Delfino, Florencia",18,Centro Sportivo Laureles,"2:42,32",4.0,1  Mujeres 16-18 200 CC Metro Estilo Libre,1  Mujeres 16-18 200 CC 
6,"Flores, Chiara",17,Club Social y Deportivo Delfin,"2:43,02",3.0,1  Mujeres 16-18 200 CC Metro Estilo Libre,1  Mujeres 16-18 200 CC 
7,"Barrientos, Catalina",18,Club Social y Deportivo Delfin,"2:43,90",2.0,1  Mujeres 16-18 200 CC Metro Estilo Libre,1  Mujeres 16-18 200 CC 
8,"Zecca, Natalia",16,Club Social y Deportivo Delfin,"x2:44,90",,1  Mujeres 16-18 200 CC Metro Estilo Libre,1  Mujeres 16-18 200 CC 
9,"Sonderegger, Saskia",17,Club Nacional Nueva Helvecia,"2:46,14",1.0,1  Mujeres 16-18 200 CC Metro Estilo Libre,1  Mujeres 16-18 200 CC 
10,"Silvera, Valentina",18,Club Nacional Nueva Helvecia,"x2:48,31",,1  Mujeres 16-18 200 CC Metro Estilo Libre,1  Mujeres 16-18 200 CC 
11,"Keiran, Julieta",17,Centro Sportivo Laureles,"x2:48,33",,1  Mujeres 16-18 200 CC Metro Estilo Libre,1  Mujeres 16-18 200 CC 
12,"De Los Santos, Delfina",17,Piscinas Barriales DE Salto,"3:15,34",,1  Mujeres 16-18 200 CC Metro Estilo Libre,1  Mujeres 16-18 200 CC 
13,"Derregibus, Celeste",16,Piscinas Barriales DE Salto,"x3:27,56",,1  Mujeres 16-18 200 CC Metro Estilo Libre,1  Mujeres 16-18 200 CC 
