Number,Name,Age,Team,Time,Points,evento,evento_short
1,Centro Sportivo Laureles,,A,"2:32,58",18,14  Mixto 12-13 4x50 CC Metro Combinado Relevo,14  Mixto 12-13 4x50 CC 
,"1) Lagos, Mateo M13               2",) Sag,"ari, Belen W12                                                3",") Timote, Priscila W13",,14  Mixto 12-13 4x50 CC Metro Combinado Relevo,14  Mixto 12-13 4x50 CC 
2,Club Social y Deportivo Delfin,,A,"2:35,47",14,14  Mixto 12-13 4x50 CC Metro Combinado Relevo,14  Mixto 12-13 4x50 CC 
,"1) Flores, Luana W12              2",) Dem,"asi, Giulia W13                                          3) Fer","res, Justino M13",,14  Mixto 12-13 4x50 CC Metro Combinado Relevo,14  Mixto 12-13 4x50 CC 
3,Carrasco Lawn Tennis Club,,A,"2:35,50",12,14  Mixto 12-13 4x50 CC Metro Combinado Relevo,14  Mixto 12-13 4x50 CC 
,"1) Yaquinta, Guadalupe W12        2",) Can,"uti, Tomas M13","3) Novak, Elena",W13,14  Mixto 12-13 4x50 CC Metro Combinado Relevo,14  Mixto 12-13 4x50 CC 
4,Nadadores DE Young,,A,"2:39,89",10,14  Mixto 12-13 4x50 CC Metro Combinado Relevo,14  Mixto 12-13 4x50 CC 
,"1) Sua    árez, Emilia W13        2",) Med,"ina, Angela W13                                          3) Cen","turio        án, Ma",áximo M12,14  Mixto 12-13 4x50 CC Metro Combinado Relevo,14  Mixto 12-13 4x50 CC 
5,Club Atletico Esparta,,A,"2:59,19",8,14  Mixto 12-13 4x50 CC Metro Combinado Relevo,14  Mixto 12-13 4x50 CC 
,"1) Soba, Agustin M12              2",) Ste,"mphet, Nahiara W13",3) Sonderegg,"er, Ian M1",14  Mixto 12-13 4x50 CC Metro Combinado Relevo,14  Mixto 12-13 4x50 CC 
---,Club Nacional Nueva Helvecia,,A,DQ,,14  Mixto 12-13 4x50 CC Metro Combinado Relevo,14  Mixto 12-13 4x50 CC 
,"1) Salaberry, Ana Clara W13       2",) Cha,"quiriand, Mauro M13","3) Vespa,",Olivia W1,14  Mixto 12-13 4x50 CC Metro Combinado Relevo,14  Mixto 12-13 4x50 CC 
