Number,Name,Age,Team,Time,Points,evento,evento_short
1,Centro Sportivo Laureles,,A,"5:07,85",18,50  Hombres 14-15 4x100 CC Metro Combinado Relevo,50  Hombres 14-15 4x100 
,"1) Lagos, Mateo 13                2",) Voe,"lker, Felipe 15","3) Coll, Sebastian",15,50  Hombres 14-15 4x100 CC Metro Combinado Relevo,50  Hombres 14-15 4x100 
2,Club Social y Deportivo Delfin,,A,"5:14,76",14,50  Hombres 14-15 4x100 CC Metro Combinado Relevo,50  Hombres 14-15 4x100 
,"1) Biardo, Benjamin 15            2",) Dem,"asi, Valentino 15","3) Martinez, Ign",acio 14,50  Hombres 14-15 4x100 CC Metro Combinado Relevo,50  Hombres 14-15 4x100 
3,Carrasco Lawn Tennis Club,,A,"5:17,87",12,50  Hombres 14-15 4x100 CC Metro Combinado Relevo,50  Hombres 14-15 4x100 
,"1) Cubas, Baltasar 14             2",) Ste,"lla, Juan Diego 14                                           3)","Paez, Juan Pedro 15",,50  Hombres 14-15 4x100 CC Metro Combinado Relevo,50  Hombres 14-15 4x100 
4,Club Nacional Nueva Helvecia,,A,"5:37,95",10,50  Hombres 14-15 4x100 CC Metro Combinado Relevo,50  Hombres 14-15 4x100 
,"1) Lepratti, Benjamin 14          2",) Her,"nandez, Mateo 14",3) Sonderegg,"er, Paulin",50  Hombres 14-15 4x100 CC Metro Combinado Relevo,50  Hombres 14-15 4x100 
5,Club Atletico Esparta,,A,"6:46,53",8,50  Hombres 14-15 4x100 CC Metro Combinado Relevo,50  Hombres 14-15 4x100 
,"1) Garcíáa, Santiago 15           2",) Fue,"ntes, Geronimo 12","3) Sonderegger,",Ian 12,50  Hombres 14-15 4x100 CC Metro Combinado Relevo,50  Hombres 14-15 4x100 
---,Piscinas Barriales DE Salto,,A,DQ,,50  Hombres 14-15 4x100 CC Metro Combinado Relevo,50  Hombres 14-15 4x100 
,"1) Soto, Tiziano 14               2",) Chi,"vel, Thiago 15","3) Salayeta, Santiago",15,50  Hombres 14-15 4x100 CC Metro Combinado Relevo,50  Hombres 14-15 4x100 
